Country,Channel Name,Main Video Category,followers,Main topic,More topics,Likes,Engagement Rate
,SonyMusicIndiaVEVO,Music,42300000,Music of Asia,"Music,Movies,Music of Asia,Pop music",117320899.9,0.098932922
NO,Alan Walker,Music,42000000,Music,"Music,Pop music,Electronic music",55641776.54,0.171522746
PR,Bad Bunny,Music,41600000,Music,"Music,Hip hop music,Music of Latin America",138038669.5,2.614865241
US,Like Nastya Show,Entertainment,41300000,Lifestyle,"Music,Lifestyle,Hobby",39269151.6,0.379553511
BY,A4,Gaming,40600000,Lifestyle,"Entertainment,Lifestyle,Technology,Movies",766852538,0.466893403
RU,Get Movies,Shows,40500000,Entertainment,"Entertainment,TV shows,Movies",16319224.4,0.022610046
IN,Speed Records,Music,40500000,Music of Asia,"Music of Asia,Music",155670991.2,0.027481222
,elrubiusOMG,Comedy,40400000,Action game,"Gaming,Action game,Action-adventure game,Role-playing video game",814895443,0.30742549
PH,ABS-CBN Entertainment,Entertainment,39800000,TV shows,"Entertainment,TV shows,Movies",240442177.4,0.003950891
,Rihanna,Entertainment,39400000,Music,"Music,Pop music",1205009.12,0.028029583
US,Little Baby Bum - Nursery Rhymes & Kids Songs,Education,39200000,Entertainment,"Entertainment,Music,Movies",5749294.194,0.022178929
MX,Luisito Comunica,Comedy,39000000,Lifestyle,Lifestyle,247337977.2,0.128590659
RU,Маша и Медведь,Film & Animation,38300000,Movies,"Movies,Entertainment",23751378.74,0.144793117
US,TheEllenShow,Entertainment,38300000,Entertainment,"Entertainment,TV shows,Movies",167231088.8,0.014573094
IN,Shemaroo,Entertainment,38200000,Movies,"Entertainment,TV shows,Movies",19334895.6,0.011851203
IN,Voot Kids,Entertainment,38100000,Entertainment,"Movies,TV shows,Entertainment",46360335.99,0.098878382
BR,Luccas Neto,People & Blogs,37500000,Lifestyle,"Entertainment,TV shows,Lifestyle,Movies",156622828.8,0.120270826
BR,GR6 EXPLODE,Music,37500000,Music of Latin America,"Music of Latin America,Hip hop music,Music",245579644.7,0.077993528
US,xxxtentacion,Music,37400000,Hip hop music,"Music,Hip hop music,Pop music,Electronic music",33550305.4,0.164899632
IN,Ishtar Music,Music,37400000,Music of Asia,"Music,Music of Asia",18094604,0.018621281
,One Direction,Music,37200000,Music,"Music,Pop music",18852717,0.14882012
US,Kimberly Loaiza,People & Blogs,36900000,Lifestyle,"Lifestyle,Technology",240742149.4,0.543247869
TH,WorkpointOfficial,Entertainment,36800000,Entertainment,"Entertainment,TV shows,Movies",80346776.67,0.003825047
,Shakira,People & Blogs,36700000,Pop music,"Music,Pop music,Music of Latin America",16923109.41,0.120258364
US,Daddy Yankee,Music,36600000,Pop music,"Music,Hip hop music,Electronic music,Music of Latin America,Pop music",188506752.5,1.733848591
US,Toys and Colors,Entertainment,36300000,Lifestyle,"Hobby,Lifestyle,Entertainment",50988592.12,0.651806885
IN,T-Series,Music,220000000,Music of Asia,"Entertainment,Music of Asia,Music,Movies",1602680172,0.033463131
US,ABCkidTV - Nursery Rhymes,Education,138000000,Movies,"Entertainment,Music,Movies",220990134.6,0.641715698
IN,SET India,Shows,137000000,Movies,"Entertainment,TV shows,Music,Movies",174875242.6,0.00120627
US,PewDiePie,Gaming,111000000,Lifestyle,"Gaming,Action game,Lifestyle,Action-adventure game",2191405542,0.063426127
US,MrBeast,Entertainment,98100000,Lifestyle,"Entertainment,Lifestyle,Technology",1731833461,0.72920955
US,Like Nastya,People & Blogs,97300000,Hobby,"Lifestyle,Hobby",280877652.4,1.026760674
US,✿ Kids Diana Show,Entertainment,97200000,Lifestyle,"Lifestyle,Hobby",235190437.5,0.690341775
,WWE,Sports,89400000,Lifestyle,"Entertainment,Lifestyle,Professional wrestling,Sports,Performing arts",543800874.3,0.004329158
IN,Zee Music Company,Music,85500000,Pop music,"Music of Asia,Music,Pop music",210395355.3,0.029939415
US,Vlad and Niki,Entertainment,83500000,Hobby,"Lifestyle,Hobby",146245435.4,0.976381214
US,5-Minute Crafts,Howto & Style,77000000,Lifestyle,"Lifestyle,Hobby",158230212.5,0.030060771
KR,BLACKPINK,People & Blogs,75100000,Music,"Entertainment,Music of Asia,Music,Pop music",617573972,0.547490564
IN,Goldmines Telefilms,Film & Animation,72000000,Movies,"Entertainment,Movies",63642295.56,0.022443868
CA,Justin Bieber,Music,69400000,Music,"Music,Hip hop music,Pop music,Rhythm and blues",39350061.94,0.077374732
IN,SAB TV,Entertainment,69300000,Entertainment,"Entertainment,TV shows,Movies",109283010.7,0.002536362
,BANGTANTV,Music,69100000,Pop music,"Entertainment,Music of Asia,Music,Pop music",1640737553,0.100502939
KR,ibighit,Music,67300000,Music,"Entertainment,Music of Asia,Music,Pop music",636497162.1,0.146919052
BR,Canal KondZilla,Music,65800000,Music,"Music,Hip hop music,Music of Latin America",116511691.1,0.04082935
IN,zeetv,Entertainment,62100000,TV shows,"TV shows,Movies,Entertainment",37475050.79,0.001587676
IN,Shemaroo Filmi Gaane,Music,60700000,Entertainment,"Music,Movies,Music of Asia,Entertainment",12480195.26,0.005806078
US,Pinkfong Baby Shark - Kids' Songs & Stories,Education,58700000,Music,"Entertainment,Music,Movies",17219955,0.034736166
US,Dude Perfect,Sports,57800000,Lifestyle,Lifestyle,244293352.9,0.903419027
US,Movieclips,Film & Animation,57300000,Movies,"Entertainment,Movies",39953044.15,0.002600567
IN,ChuChu TV Nursery Rhymes & Kids Songs,Education,57100000,Movies,"Music,Movies,Entertainment",31942735,0.282754007
US,Marshmello,Music,55500000,Electronic music,"Music,Hip hop music,Pop music,Electronic music",51156331.51,0.111447301
IN,Colors TV,Entertainment,53400000,Movies,"TV shows,Movies,Entertainment",182929448,0.004375592
IN,Wave Music,Music,52800000,Music,"Entertainment,Music,Music of Asia,Movies",135816576.6,0.014120939
,EminemMusic,Music,52600000,Hip hop music,"Entertainment,Music,Hip hop music",45500762.85,0.37219525
IN,Aaj Tak,News & Politics,52300000,Society,Society,204913414.4,0.002471868
,Ed Sheeran,Music,52100000,Hip hop music,"Music,Hip hop music,Pop music,Rock music",97976609.8,0.424189408
IN,Tips Official,Music,52000000,Music,"Music,Music of Asia",35849829.85,0.051705903
IN,Sony Music India,Music,51600000,Pop music,"Music,Music of Asia,Pop music",406235612.4,0.160503022
,Ariana Grande,Pop music,51500000,Pop music,"Music,Pop music",44484407.8,0.24198291
IN,T-Series Bhakti Sagar,Music,51300000,Music,"Music,Music of Asia",27470145.64,0.0057136
,El Reino Infantil,Music,50900000,Entertainment,"Music,Movies,Entertainment",11453139.1,0.068281181
US,LooLoo Kids - Nursery Rhymes and Children's Songs,Music,49400000,Entertainment,"Music,Movies,Entertainment",25323367.15,0.232845666
IN,YRF,Music,46900000,Music of Asia,"Music,Movies,Music of Asia,Entertainment",230841570.4,0.11396691
,Taylor Swift,Music,46800000,Music,"Music,Pop music",22039543.26,0.09257445
US,JuegaGerman,Gaming,45900000,Gaming,"Gaming,Action game,Action-adventure game,Entertainment",641782272.8,0.095303022
US,Billie Eilish,Music,45900000,Music,"Independent music,Music,Pop music",37371320.82,0.563128466
MX,Badabun,Entertainment,45600000,Entertainment,"Entertainment,Lifestyle,Society",288740569.4,0.015390894
SV,Fernanfloo,Gaming,45100000,Action game,"Entertainment,Action game,Gaming,Action-adventure game",937427149.9,0.579284858
IN,Infobells - Hindi,Education,44700000,Music,"Music,Movies,Entertainment",24257065.2,0.30342129
BR,Felipe Neto,Entertainment,44200000,Entertainment,"Entertainment,Gaming,Lifestyle,Movies",763318297,0.045004386
,whinderssonnunes,Comedy,43800000,Technology,"Lifestyle,Technology",196137065.7,0.060472423
US,BRIGHT SIDE,Howto & Style,43700000,Lifestyle,"Entertainment,Lifestyle,Movies",36932146.78,0.011437194
CL,HolaSoyGerman.,Entertainment,43300000,Entertainment,"Entertainment,Movies",222616795.2,1.018686754
BR,Você Sabia?,Entertainment,43100000,Entertainment,"Entertainment,Lifestyle",449621753.4,0.065984679
US,Katy Perry,Music,43000000,Music,"Music,Pop music",5322828.259,0.032802965
,SonyMusicIndiaVEVO,Music,42300000,Music of Asia,"Music,Movies,Music of Asia,Pop music",117320899.9,0.098932922
NO,Alan Walker,Music,42000000,Music,"Music,Pop music,Electronic music",55641776.54,0.171522746
PR,Bad Bunny,Music,41600000,Music,"Music,Hip hop music,Music of Latin America",138038669.5,2.614865241
US,Like Nastya Show,Entertainment,41300000,Lifestyle,"Music,Lifestyle,Hobby",39269151.6,0.379553511
BY,A4,Gaming,40600000,Lifestyle,"Entertainment,Lifestyle,Technology,Movies",766852538,0.466893403
RU,Get Movies,Shows,40500000,Entertainment,"Entertainment,TV shows,Movies",16319224.4,0.022610046
IN,Speed Records,Music,40500000,Music of Asia,"Music of Asia,Music",155670991.2,0.027481222
,elrubiusOMG,Comedy,40400000,Action game,"Gaming,Action game,Action-adventure game,Role-playing video game",814895443,0.30742549
PH,ABS-CBN Entertainment,Entertainment,39800000,TV shows,"Entertainment,TV shows,Movies",240442177.4,0.003950891
,Rihanna,Entertainment,39400000,Music,"Music,Pop music",1205009.12,0.028029583
US,Little Baby Bum - Nursery Rhymes & Kids Songs,Education,39200000,Entertainment,"Entertainment,Music,Movies",5749294.194,0.022178929
MX,Luisito Comunica,Comedy,39000000,Lifestyle,Lifestyle,247337977.2,0.128590659
RU,Маша и Медведь,Film & Animation,38300000,Movies,"Movies,Entertainment",23751378.74,0.144793117
US,TheEllenShow,Entertainment,38300000,Entertainment,"Entertainment,TV shows,Movies",167231088.8,0.014573094
IN,Shemaroo,Entertainment,38200000,Movies,"Entertainment,TV shows,Movies",19334895.6,0.011851203
IN,Voot Kids,Entertainment,38100000,Entertainment,"Movies,TV shows,Entertainment",46360335.99,0.098878382
BR,Luccas Neto,People & Blogs,37500000,Lifestyle,"Entertainment,TV shows,Lifestyle,Movies",156622828.8,0.120270826
BR,GR6 EXPLODE,Music,37500000,Music of Latin America,"Music of Latin America,Hip hop music,Music",245579644.7,0.077993528
US,xxxtentacion,Music,37400000,Hip hop music,"Music,Hip hop music,Pop music,Electronic music",33550305.4,0.164899632
IN,Ishtar Music,Music,37400000,Music of Asia,"Music,Music of Asia",18094604,0.018621281
,One Direction,Music,37200000,Music,"Music,Pop music",18852717,0.14882012
US,Kimberly Loaiza,People & Blogs,36900000,Lifestyle,"Lifestyle,Technology",240742149.4,0.543247869
TH,WorkpointOfficial,Entertainment,36800000,Entertainment,"Entertainment,TV shows,Movies",80346776.67,0.003825047
,Shakira,People & Blogs,36700000,Pop music,"Music,Pop music,Music of Latin America",16923109.41,0.120258364
US,Daddy Yankee,Music,36600000,Pop music,"Music,Hip hop music,Electronic music,Music of Latin America,Pop music",188506752.5,1.733848591
US,Toys and Colors,Entertainment,36300000,Lifestyle,"Hobby,Lifestyle,Entertainment",50988592.12,0.651806885
,News,,36100000,,,0,
IN,CarryMinati,Comedy,36000000,Music,"Music,Action game,Movies,Entertainment",649801095.4,1.176523668
,Maroon 5,Music,35700000,Music,"Music,Pop music",3395907.071,0.018714796
AE,shfa,People & Blogs,35600000,Food,"Lifestyle,Hobby,Food",100292545.2,0.532343734
AE,shfa2 - شفا,People & Blogs,35600000,Lifestyle,"Lifestyle,Hobby",33139055.28,0.151213503
,TEDx Talks,Nonprofits & Activism,35400000,Knowledge,"Society,Lifestyle,Knowledge",14380162.58,0.000260992
IN,Jkk Entertainment,Comedy,35300000,Movies,"Humor,Movies,Entertainment",57770963.73,2.023618174
PR,Ozuna,Music,35100000,Hip hop music,"Music,Hip hop music,Electronic music,Music of Latin America,Pop music",54789654.87,1.413863831
,Bruno Mars,Music,35100000,Rhythm and blues,"Music,Rhythm and blues,Hip hop music,Pop music",82066537.66,2.739238555
CA,Super Simple Songs - Kids Songs,Education,34600000,Music,"Music,Movies,Entertainment",15938779.13,0.422444051
US,Masha and The Bear,Entertainment,34400000,TV shows,"Entertainment,TV shows,Movies",19163112.51,0.140559935
TH,one31,Entertainment,34100000,Movies,"Entertainment,TV shows,Music,Movies",79115974.38,0.002468718
IN,Goldmines Gaane Sune Ansune,Music,33800000,Music of Asia,"Music,Movies,Music of Asia,Entertainment",3356772.558,0.008749589
CO,J Balvin,Music,33500000,Music,"Music,Hip hop music,Electronic music,Music of Latin America,Pop music",3674660,0.051725797
US,YouTube Spotlight,Entertainment,33200000,Lifestyle,Lifestyle,11016951.85,0.086361569
US,Like Nastya ESP,Entertainment,33200000,Lifestyle,"Hobby,Lifestyle,Entertainment",32867508.18,0.325030032
"ES
",VEGETTA777,Gaming,33100000,Action game,"Gaming,Action game,Role-playing video game,Action-adventure game,Puzzle video game,Strategy video game",772750483.9,0.034666619
US,Markiplier,Gaming,33100000,Gaming,"Gaming,Action game,Role-playing video game,Action-adventure game",859070584,0.104001857
IN,ABP NEWS,People & Blogs,32900000,Society,Society,74402420.46,0.000889184
IN,Total Gaming,Gaming,32900000,Gaming,"Gaming,Action game,Role-playing video game",349783527.8,0.059199973
IN,Desi Music Factory,Music,32800000,Music,"Music,Music of Asia,Pop music",168803623.8,2.76577205
IN,Ultra Bollywood,Entertainment,32700000,Movies,"Movies,Entertainment",20774265.97,0.013969977
US,Ryan's World,Entertainment,32700000,Lifestyle,"Lifestyle,Hobby",41421384.3,0.181956682
US,Maria Clara & JP,People & Blogs,32700000,Hobby,"Lifestyle,Hobby",123083709.2,0.73768051
IN,Geet MP3,Music,32600000,Movies,"Music,Hip hop music,Music of Asia,Movies",102193367.2,0.319854763
GB,NoCopyrightSounds,Entertainment,32500000,Electronic music,"Music,Electronic music",49790905.32,0.049580599
US,Mikecrack,Gaming,32200000,Action-adventure game,"Entertainment,Gaming,Action game,Role-playing video game,Music,Action-adventure game",519363095.8,0.262763557
US,SSSniperWolf,Gaming,32100000,Technology,"Lifestyle,Technology",457491408.9,0.165531014
IN,T-Series Apna Punjab,Music,32000000,Music,"Music,Music of Asia",90640279.52,0.036435724
IN,KHANDESHI MOVIES,Comedy,31800000,Entertainment,"Humor,Movies,Entertainment",34001587.65,1.14953132
US,JustinBieberVEVO,Music,31800000,Pop music,"Music,Hip hop music,Pop music",127777643.2,1.079713776
MX,GENIAL,Howto & Style,31300000,Entertainment,"Entertainment,Lifestyle,Knowledge",43213041.98,0.007746011
IN,IndiaTV,News & Politics,31300000,Society,Society,117119044.8,0.00128395
TH,Ch3Thailand,Entertainment,31200000,Entertainment,"Entertainment,TV shows,Movies",63299814.36,0.004420955
AR,La Granja de Zenón,Music,31200000,Entertainment,"Music,Movies,Entertainment",8862147.776,0.139615164
,Selena Gomez,Entertainment,30800000,Pop music,"Music,Pop music",57934128,0.445962257
US,Luis Fonsi,Entertainment,30800000,Music of Latin America,"Music,Pop music,Music of Latin America",790615.8507,0.011571346
IN,Eros Now,Entertainment,30700000,Entertainment,"Music,Movies,Music of Asia,Entertainment",24201444.69,0.008533923
,SMTOWN,Music,30600000,Music,"Music,Music of Asia,Pop music",855552544.8,0.14399202
,Mr. Bean,Comedy,30500000,TV shows,"Humor,Movies,TV shows,Entertainment",20494341.2,0.027518247
BR,Galinha Pintadinha,Film & Animation,30500000,Movies,"Music,Movies,Entertainment",53343498,10.58408389
US,Trap Nation,Music,30400000,Hip hop music,"Music,Hip hop music,Pop music,Electronic music",29263861.96,0.015192013
,CVS 3D Rhymes,Education,30200000,Entertainment,"Entertainment,Music,Movies",64572189.24,2.264813582
ID,Ricis Official,People & Blogs,30200000,Lifestyle,"Music,Lifestyle",204185093,0.058886014
IN,Bollywood Classics,Music,30200000,Music,"Music,Music of Asia,Pop music",16021508.49,0.095138436
IN,Rajshri,Entertainment,30000000,Movies,"Movies,Entertainment",4584371.672,0.009540145
ID,AH,Entertainment,29800000,Lifestyle,"Lifestyle,Technology",146509276.9,0.057928287
US,DisneyMusicVEVO,Music,29700000,Movies,"Entertainment,Music,Pop music,Movies",90824434.52,0.155359311
US,The Tonight Show Starring Jimmy Fallon,Comedy,29700000,TV shows,"Movies,TV shows,Entertainment",135086098.2,0.017824512
NL,Spinnin' Records,Music,29600000,Music,"Music,Pop music,Electronic music",78661903.41,0.011250173
US,rezendeevil,Gaming,29600000,Technology,"Lifestyle,Technology",924433049.7,0.026044129
US,Dream,Action-adventure game,29500000,Action-adventure game,"Gaming,Action game,Role-playing video game,Action-adventure game",108019743.5,0.79565474
,Shawn Mendes,Music,29400000,Music,"Music,Pop music",15433637.08,0.06830012
IN,Saregama Music,Music,29200000,Music of Asia,"Music,Music of Asia",41491719.48,0.024864432
ES,AuronPlay,Comedy,29100000,Entertainment,Entertainment,540482543.1,0.50442192
US,BabyBus - Kids Songs and Cartoons,Education,29000000,Entertainment,"Music,Movies,Entertainment",39616801.43,0.197261578
US,Maluma,Music,28600000,Hip hop music,"Music,Hip hop music,Music of Latin America,Pop music",3656173.333,0.821912229
,Adele,Music,28600000,Rhythm and blues,"Music,Rhythm and blues,Pop music",1187550,0.041068292
CA,xoxxxoooxo,Music,28600000,Electronic music,"Music,Rhythm and blues,Hip hop music,Electronic music,Pop music,Soul music",18425347.55,0.319510774
IE,jacksepticeye,Gaming,28500000,Gaming,"Gaming,Action game,Role-playing video game,Action-adventure game",641050483.4,0.083391525
IN,ashish chanchlani vines,Comedy,28400000,Entertainment,"Movies,Entertainment",384468858.7,1.656636785
,Ultra Music,Music,28400000,Music,"Music,Pop music,Electronic music",28006627.75,0.03766775
US,ImagineDragons,Music,28300000,Pop music,"Independent music,Music,Rock music,Pop music",2304173.25,0.466151327
,Jingle Toons,Film & Animation,28100000,Movies,"Music,Movies,Music of Asia,Entertainment",17932525.06,0.522972361
IN,Worldwide Records Bhojpuri,Music,28100000,Music of Asia,"Music,Movies,Music of Asia",40014250.2,0.035607975
,قناة طيور الجنة | toyoraljanahtv,Music,27800000,Music,Music,0,0.041841294
US,MrBeast Gaming,Strategy video game,27800000,Strategy video game,"Gaming,Action game,Role-playing video game,Action-adventure game,Strategy video game",95375135.95,0.955674773
US,Peppa Pig - Official Channel,Film & Animation,27800000,Entertainment,"Entertainment,Movies",36324747.81,0.199117963
US,Talking Tom,Comedy,27800000,Movies,"Movies,TV shows,Entertainment",28574803.58,0.750048335
,The Late Late Show with James Corden,Entertainment,27800000,Entertainment,"Movies,TV shows,Entertainment",120693574.3,0.021180724
IN,Wow Kidz,Film & Animation,27600000,Entertainment,"Humor,Movies,TV shows,Entertainment",13298666.41,0.023730423
,Sony PAL,Shows,27600000,Movies,"Entertainment,Movies,TV shows",23853961.66,0.007763552
PK,ARY Digital,Entertainment,27500000,TV shows,"TV shows,Entertainment,Movies",118370187.8,0.008613792
IN,Techno Gamerz,Gaming,27500000,Action game,"Gaming,Action game,Role-playing video game,Music,Action-adventure game",350302694.1,0.262711508
US,Little Angel: Nursery Rhymes & Kids Songs,Film & Animation,27400000,Movies,"Music,Movies,Entertainment",78794486.29,0.611085947
IE,PowerKids,Film & Animation,27400000,Movies,"Movies,Entertainment",9110728.831,0.072031913
CO,Karolgmusic,Music,27100000,Music,"Music,Hip hop music,Electronic music,Music of Latin America,Pop music",14238429.23,0.292203884
US,TheDonato,Entertainment,27000000,Action game,"Gaming,Action game",494765339.7,0.070371529
PH,GMANetwork,TV shows,26900000,TV shows,"Entertainment,TV shows,Movies",95213545.19,0.002196694
IN,infobells - Tamil,Education,26800000,Music,"Entertainment,Music,Movies",33809680.24,0.7354389
IN,Round2hell,Comedy,26800000,Entertainment,"Entertainment,Movies",129404344.2,1.960562613
US,[토이푸딩] ToyPudding TV,Entertainment,26600000,Lifestyle,"Hobby,Lifestyle,Food",4840587.741,0.021346264
,Drake,Music,26600000,Pop music,"Music,Hip hop music,Pop music",7434135.412,0.461379093
US,Wiz Khalifa,Music,26300000,Hip hop music,"Music,Hip hop music",31480236.73,0.081768314
IN,MR. INDIAN HACKER,People & Blogs,26300000,Vehicles,"Vehicles,Lifestyle",245168516.5,0.137084329
AU,Bounce Patrol - Kids Songs,Music,26200000,Music,Music,29776135.44,3.123583404
IN,Zee News,News & Politics,26200000,Society,Society,324850950,0.004376617
,enchufetv,Comedy,26100000,Movies,"Movies,Entertainment",71000735.22,0.057386354
IN,infobells - Telugu,Education,26100000,Entertainment,"Music,Movies,Entertainment",10179286.71,0.260695404
US,DanTDM,Gaming,26100000,Role-playing video game,"Role-playing video game,Gaming,Action game,Action-adventure game",327301869.2,0.130945351
US,Genevieve's Playhouse - Learning Videos for Kids,Film & Animation,26000000,Lifestyle,"Hobby,Lifestyle,Entertainment",27886047.57,0.901125515
US,WORLDSTARHIPHOP,Music,25900000,Music,"Music,Hip hop music",76997320.64,0.027336458
KW,AboFlah,Gaming,25900000,Gaming,"Gaming,Action game,Action-adventure game,Role-playing video game",364937178.3,0.214337591
US,TaylorSwiftVEVO,Music,25900000,Music,"Music,Independent music,Pop music,Country,Christian music",91978482.69,0.736505151
US,VanossGaming,Gaming,25700000,Gaming,"Gaming,Action game,Role-playing video game,Action-adventure game",124485316.5,0.091913004
US,Diana and Roma ESP,Entertainment,25600000,Lifestyle,"Hobby,Lifestyle,Entertainment",18259274.4,0.336740497
CO,toycantando,Music,25600000,Music,"Music,Movies,Entertainment",8380779.475,0.223392413
,Michael Jackson,Pop music,25500000,Pop music,"Music,Rock music,Pop music,Rhythm and blues",2235904,0.365323448
US,व्लाद और निकिता,Entertainment,25500000,Lifestyle,"Hobby,Lifestyle",29021658.21,0.583467514
KR,1MILLION Dance Studio,Entertainment,25400000,Music of Latin America,"Music,Rhythm and blues,Hip hop music,Music of Asia,Music of Latin America,Pop music,Lifestyle,Performing arts",60861831.99,0.012727913
,LosPolinesios,People & Blogs,25400000,Technology,"Lifestyle,Technology",139004885.3,0.190015552
BR,Renato Garcia,Entertainment,25300000,Lifestyle,"Vehicles,Lifestyle,Technology",625651148.3,0.054311676
US,Vlad và Nikita,Entertainment,25300000,Lifestyle,"Music,Hobby,Lifestyle",38015965.41,1.050717915
US,RihannaVEVO,Music,25200000,Rhythm and blues,"Pop music,Rhythm and blues,Hip hop music,Music,Electronic music",102787670,6.431747196
US,Smosh,Comedy,25000000,Entertainment,"Entertainment,Lifestyle,Movies",63423871.89,0.05497801
,EminemVEVO,Music,25000000,Rock music,"Music,Rock music,Hip hop music,Pop music",80282189.68,2.196714771
SO,Yuya,Howto & Style,24900000,Lifestyle,Lifestyle,58671863.25,0.059937834
IE,Lucas and Marcus,Entertainment,24900000,Technology,"Lifestyle,Technology,Entertainment",113049177.7,0.140252152
US,Nick Jr.,Film & Animation,24900000,Movies,"Movies,TV shows,Entertainment",9113271.348,0.026547727
,jypentertainment,Music,24800000,Pop music,"Music,Music of Asia,Pop music",397504868.1,0.299767149
US,KatyPerryVEVO,Music,24800000,Pop music,"Music,Pop music",69822504.31,1.457308094
